ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_长度,FID,field_1,field_6
780,图形选择 4 - 位置 54,4,54,12,4827.242207290874800,54,肯德基(武汉站),现磨咖啡，葡式蛋挞，小食拼盘，可乐，KFC香辣（劲脆）鸡腿堡，肯大大鸡排，KFC老北京鸡肉卷，吮指原味鸡，薯条，玉米沙拉，香辣鸡翅，芋缘花淇淋，黄金鸡块，KFC芋缘花淇淋，蔬菜沙拉，鸡米花，醇香土豆泥，海苔岩烧大鸡腿饭，伴柠伴桔鲜果茶，红豆派，全家桶，新奥尔良烤?
781,图形选择 4 - 位置 42,4,42,13,5037.190619477572000,42,肯德基(摩尔城沃尔玛店),新奥尔良烤鸡翅，原味蛋挞，辣翅，圣代，香甜粟米棒，芙蓉荟蔬汤，卤水鸡腿饭，芙蓉鲜蔬汤，明星香辣鸡腿堡套餐，小吃拼盘，冰淇淋之神，香菇鸡肉饭，蔬菜萨拉，油条被蛋卷，bbq手撕猪肉堡，香辣鸡腿，芋圆冰淇淋，脆皮全鸡，甜玉米，咖喱猪排饭，双果圣代，黑椒牛柳饭，蜜?
782,图形选择 4 - 位置 31,4,31,14,5218.827461115412000,31,肯德基(武大店),可乐，KFC香辣（劲脆）鸡腿堡，小食拼盘，肯大大鸡排，KFC老北京鸡肉卷，吮指原味鸡，薯条，玉米沙拉，香辣鸡翅，芋缘花淇淋，黄金鸡块，KFC芋缘花淇淋，现磨咖啡，葡式蛋挞，全家桶，新奥尔良烤鸡腿堡，红豆派，伴柠伴桔鲜果茶，蔬菜沙拉，鸡米花，醇香土豆泥，海苔岩烧大?
783,图形选择 4 - 位置 51,4,51,15,5218.827461115412000,51,肯德基(地大校园餐厅),全家桶，新奥尔良烤鸡腿堡，红豆派，伴柠伴桔鲜果茶，蔬菜沙拉，鸡米花，醇香土豆泥，海苔岩烧大鸡腿饭，现磨咖啡，葡式蛋挞，肯大大鸡排，KFC老北京鸡肉卷，吮指原味鸡，薯条，玉米沙拉，香辣鸡翅，芋缘花淇淋，黄金鸡块，小食拼盘，可乐，KFC香辣（劲脆）鸡腿堡
784,图形选择 4 - 位置 82,4,82,16,5371.887424640079200,82,炸鸡汉堡,[]
785,图形选择 4 - 位置 14,4,14,17,5513.196370162466300,14,肯德基(民航新村店),楚味烤翅，嫩牛五方，吮指原味鸡块，早餐油条稀饭套餐，香辣鸡腿堡土豆泥餐，辣翅，老北京卷土豆泥餐，冰拿铁，热牛奶，麦辣鸡腿汉堡，香辣鸡腿汉堡，榛果风味冰拿铁，咖喱鸡饭，辣子鸡丁，超值全家桶，手撕猪肉堡，川味鸡肉饭，玉米沙拉，牛肉堡，原味蛋挞，鳕鱼汉堡，石榴
786,图形选择 4 - 位置 36,4,36,18,5519.700334018142700,36,肯德基(楚天时尚广场),新奥尔良烤翅，吮指原味鸡块，原味蛋挞，鸡米花，香菇鸡排饭，吮指原味鸡套餐，香辣鸡腿堡，草莓圣代，川椒麻香翅，奥利奥圣代，五味小吃桶，麻辣鸡肉饭，红豆珍珠奶茶，板烧鸡腿堡，巧克力味冰淇淋花筒，劲脆鸡腿堡，鸡肉汉堡，霜糖油条，豪霸鸡腿，蘑菇饭，草莓旋风，紫薯
787,图形选择 4 - 位置 91,4,91,19,5522.560722253331700,91,座椅,{}
788,图形选择 4 - 位置 56,4,56,20,5523.787799374726100,56,肯德基(奥山世纪广场店),香醇土豆泥，至珍七虾堡，铁板烤鸡腿堡，新奥尔良腿宝，辣汉堡，脆皮炸鸡，海盐焦糖圣代，新奥尔良烤鸡腿堡，香辣鸡腿堡，雪顶咖啡，鸡米花，燕麦堡，劲脆鸡腿堡，深海鳕鱼堡，新奥尔良烤翅，火腿蛋堡
789,图形选择 4 - 位置 89,4,89,21,5563.351769100811000,89,肯德基(五环天地),[]
790,图形选择 4 - 位置 44,4,44,22,5758.717514848244700,44,肯德基(光谷世界城店),香辣鸡腿堡，蛋挞，吮指原味鸡，薯条，新奥尔良烤翅，香辣鸡翅，劲爆鸡米花，红豆派
791,图形选择 4 - 位置 65,4,65,23,6458.037749520042800,65,肯德基(海天欢乐购),老北京鸡肉卷，伴鸡伴虾堡土豆泥餐，九珍果汁饮料，伴鸡伴虾堡，吮指原味鸡套餐，拿铁，根骨肉相连加，美式，超级外送全家桶，香辣鸡腿堡土豆泥餐，香辣鸡腿堡，香甜粟米棒，醇香土豆泥，葡式蛋挞，芙蓉荟蔬汤，老北京卷土豆泥餐，红豆派，新奥良腿堡土豆泥餐，新奥尔良烤鸡
792,图形选择 4 - 位置 3,4,3,24,6509.827109359213000,3,肯德基(光谷国际店),榛果风味热拿铁，榛果风味拿铁，伴鸡伴虾堡土豆泥餐，红豆派，冰美式，超级外送全家桶，葡式蛋挞，新奥良腿堡土豆泥餐，拿铁，冰拿铁，伴鸡伴虾堡，榛果风味冰拿铁，九珍果汁饮料，黄金鸡块，美式，吮指原味鸡套餐，鲜蔬沙拉，香辣鸡腿堡土豆泥餐，香辣鸡腿堡，醇香土豆泥，
