ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_长度,FID,field_1,field_6
514,图形选择 3 - 位置 32,3,32,8,3621.432446758749400,32,肯德基(欧亚达汉口国际广场店),吮指原味鸡，新奥尔良烤翅，香辣鸡翅，香辣鸡腿堡，新奥尔良烤鸡腿堡，醇香土豆泥，红豆派，黄金鸡块
515,图形选择 3 - 位置 23,3,23,9,4262.028606103130200,23,肯德基(沙湖店),吮指原味鸡块，老北京卷土豆泥餐，冰拿铁，热牛奶，楚味烤翅，麦辣鸡腿汉堡，香辣鸡腿汉堡，榛果风味冰拿铁，嫩牛五方，咖喱鸡饭，香甜粟米棒，芙蓉荟蔬汤，卤水鸡腿饭，玉米沙拉，牛肉堡，原味蛋挞，鳕鱼汉堡，石榴派，皮蛋瘦肉粥，草莓沙冰，柚子茶，仙草奶茶，香菇鸡肉饭
516,图形选择 3 - 位置 82,3,82,10,4301.539274363950400,82,炸鸡汉堡,[]
517,图形选择 3 - 位置 91,3,91,11,4452.212571977202100,91,座椅,{}
518,图形选择 3 - 位置 56,3,56,12,4453.439649098596400,56,肯德基(奥山世纪广场店),香醇土豆泥，至珍七虾堡，铁板烤鸡腿堡，新奥尔良腿宝，辣汉堡，脆皮炸鸡，海盐焦糖圣代，新奥尔良烤鸡腿堡，香辣鸡腿堡，雪顶咖啡，鸡米花，燕麦堡，劲脆鸡腿堡，深海鳕鱼堡，新奥尔良烤翅，火腿蛋堡
519,图形选择 3 - 位置 89,3,89,13,4493.003618824681300,89,肯德基(五环天地),[]
520,图形选择 3 - 位置 72,3,72,14,4517.436662722150700,72,肯德基(荟聚购物中心),新奥尔良烤鸡腿堡，粉色可乐，新奥尔良烤翅，海苔虾，小食盘，雪顶咖啡
521,图形选择 3 - 位置 54,3,54,15,4649.249958760950000,54,肯德基(武汉站),现磨咖啡，葡式蛋挞，小食拼盘，可乐，KFC香辣（劲脆）鸡腿堡，肯大大鸡排，KFC老北京鸡肉卷，吮指原味鸡，薯条，玉米沙拉，香辣鸡翅，芋缘花淇淋，黄金鸡块，KFC芋缘花淇淋，蔬菜沙拉，鸡米花，醇香土豆泥，海苔岩烧大鸡腿饭，伴柠伴桔鲜果茶，红豆派，全家桶，新奥尔良烤?
522,图形选择 4 - 位置 62,4,62,1,776.467697881222310,62,肯德基(维新店),圣代，吮指原味鸡块，双果圣代，普罗旺斯鸡腿，田园脆鸡堡，原味蛋挞，超级外送全家桶，红豆圆奶茶，新奥良腿堡土豆泥餐，拿铁，上校鸡块，香辣鸡腿堡土豆泥餐，黄桃蛋挞，香栗双层鸡腿堡，美味鸡柳，深海鳕鱼堡，小食拼盘，墨西哥鸡肉卷，原味鸡腿堡，香菇滑鸡粥，香甜栗米
523,图形选择 4 - 位置 60,4,60,2,1049.318666668572200,60,肯德基(光谷中商店),爱尔兰雪顶咖啡，鸡米花，香菇鸡排饭，吮指原味鸡套餐，草莓圣代，川椒麻香翅，奥利奥圣代，五味小吃桶，鲜蔬沙拉，麻辣鸡肉饭，红豆珍珠奶茶，板烧鸡腿堡，巧克力味冰淇淋花筒，劲脆鸡腿堡，鸡肉汉堡，霜糖油条，豪霸鸡腿，蜂蜜花梨茶，蘑菇饭，草莓旋风，紫薯蛋挞，炸鸡翅
